ticket_id,channel,customer_message,sentiment_label,word_count,urgent_flag,text_length,cleaned_text
TKT00099,email,I am checking if there is any scheduled maintenance today. Please respond as soon as possible.,neutral,16,1,16,i am checking if there is any scheduled maintenance today please respond as soon as possible
TKT00100,chat,I am very unhappy because my dashboard has not worked since three days ago. Please respond as soon as possible.,negative,20,1,20,i am very unhappy because my dashboard has not worked since three days ago please respond as soon as possible
TKT00101,email,The refund process was fast and convenient.,positive,7,0,7,the refund process was fast and convenient
TKT00102,social,Great service and clear communication from the support team.,positive,9,0,9,great service and clear communication from the support team
TKT00103,email,Billing is incorrect and I was charged twice this month. My ticket number is 56483.,negative,15,1,15,billing is incorrect and i was charged twice this month my ticket number is 
TKT00104,chat,The refund process was fast and convenient. My ticket number is 82331.,positive,12,0,12,the refund process was fast and convenient my ticket number is 
TKT00105,app,Can someone explain the difference between the plans?,neutral,8,0,8,can someone explain the difference between the plans
TKT00106,phone,Please provide the steps to activate analytics.,neutral,7,0,7,please provide the steps to activate analytics
TKT00107,phone,The refund process was fast and convenient.,positive,7,0,7,the refund process was fast and convenient
TKT00108,app,Can you confirm whether my ticket has been assigned? My ticket number is 83509.,neutral,14,0,14,can you confirm whether my ticket has been assigned my ticket number is 
TKT00109,social,The app crashes whenever I try to use profile update. Please respond as soon as possible.,negative,16,1,16,the app crashes whenever i try to use profile update please respond as soon as possible
TKT00110,email,I like the new profile update and it is easy to use.,positive,12,0,12,i like the new profile update and it is easy to use
TKT00111,social,The delivery was smooth and the product quality is excellent. My ticket number is 79102.,positive,15,0,15,the delivery was smooth and the product quality is excellent my ticket number is 
TKT00112,chat,I am very unhappy because my router has not worked since three days ago. My ticket number is 24804.,negative,19,0,19,i am very unhappy because my router has not worked since three days ago my ticket number is 
TKT00113,email,The product quality is bad and I regret purchasing it. My ticket number is 37963.,negative,15,1,15,the product quality is bad and i regret purchasing it my ticket number is 
TKT00114,phone,The delivery was late and the package arrived damaged. Please respond as soon as possible.,negative,15,1,15,the delivery was late and the package arrived damaged please respond as soon as possible
TKT00115,phone,The mobile app is working well and I am happy with the service.,positive,13,0,13,the mobile app is working well and i am happy with the service
TKT00116,social,The dashboard keeps failing and support has not resolved my issue.,negative,11,1,11,the dashboard keeps failing and support has not resolved my issue
TKT00117,phone,I would like to know more about the available plans. Please respond as soon as possible.,neutral,16,1,16,i would like to know more about the available plans please respond as soon as possible
TKT00118,email,I need help finding the invoice for my last order.,neutral,10,0,10,i need help finding the invoice for my last order
TKT00119,chat,The internet speed is slow and customer care is not helping. Please respond as soon as possible.,negative,17,1,17,the internet speed is slow and customer care is not helping please respond as soon as possible
TKT00120,social,The installation was completed on time and everything works perfectly.,positive,10,0,10,the installation was completed on time and everything works perfectly
TKT00121,social,I need help finding the invoice for my last order.,neutral,10,0,10,i need help finding the invoice for my last order
TKT00122,email,Can you confirm whether my ticket has been assigned?,neutral,9,0,9,can you confirm whether my ticket has been assigned
TKT00123,chat,The product quality is bad and I regret purchasing it.,negative,10,0,10,the product quality is bad and i regret purchasing it
TKT00124,email,Please provide the steps to activate notifications. My ticket number is 20303.,neutral,12,0,12,please provide the steps to activate notifications my ticket number is 
TKT00125,email,The product quality is bad and I regret purchasing it. My ticket number is 63843.,negative,15,0,15,the product quality is bad and i regret purchasing it my ticket number is 
TKT00126,email,Can you confirm whether my ticket has been assigned? My ticket number is 73636. Please respond as soon as possible.,neutral,20,1,20,can you confirm whether my ticket has been assigned my ticket number is  please respond as soon as possible
TKT00127,chat,I need help finding the invoice for my last order.,neutral,10,0,10,i need help finding the invoice for my last order
TKT00128,phone,Billing is incorrect and I was charged twice this month.,negative,10,1,10,billing is incorrect and i was charged twice this month
TKT00129,app,The response from the team was helpful and professional. My ticket number is 57734.,positive,14,0,14,the response from the team was helpful and professional my ticket number is 
TKT00130,social,I am very unhappy because my service plan has not worked since three days ago. Please respond as soon as possible.,negative,21,1,21,i am very unhappy because my service plan has not worked since three days ago please respond as soon as possible
TKT00131,app,The dashboard is working well and I am happy with the service.,positive,12,0,12,the dashboard is working well and i am happy with the service
TKT00132,app,The delivery was smooth and the product quality is excellent. I appreciate the quick response.,positive,15,0,15,the delivery was smooth and the product quality is excellent i appreciate the quick response
TKT00133,chat,I need help finding the invoice for my last order. My ticket number is 98508.,neutral,15,0,15,i need help finding the invoice for my last order my ticket number is 
TKT00134,app,I want to cancel because the service quality is poor and unreliable.,negative,12,0,12,i want to cancel because the service quality is poor and unreliable
TKT00135,email,I want to cancel because the service quality is poor and unreliable. My ticket number is 20363. Please respond as soon as possible.,negative,23,1,23,i want to cancel because the service quality is poor and unreliable my ticket number is  please respond as soon as possible
TKT00136,app,My refund is still pending and this experience is frustrating. My ticket number is 80366. Please respond as soon as possible.,negative,21,1,21,my refund is still pending and this experience is frustrating my ticket number is  please respond as soon as possible
TKT00137,social,Please provide the steps to activate report download. My ticket number is 20372. Please respond as soon as possible.,neutral,19,1,19,please provide the steps to activate report download my ticket number is  please respond as soon as possible
TKT00138,app,I am satisfied with the plan and would recommend it to others.,positive,12,0,12,i am satisfied with the plan and would recommend it to others
TKT00139,email,The delivery was smooth and the product quality is excellent.,positive,10,0,10,the delivery was smooth and the product quality is excellent
TKT00140,social,I have raised multiple tickets but nobody has fixed the problem. My ticket number is 55314.,negative,16,0,16,i have raised multiple tickets but nobody has fixed the problem my ticket number is 
TKT00141,chat,My refund is still pending and this experience is frustrating.,negative,10,1,10,my refund is still pending and this experience is frustrating
TKT00142,email,My refund is still pending and this experience is frustrating.,negative,10,0,10,my refund is still pending and this experience is frustrating
TKT00143,chat,Billing is incorrect and I was charged twice this month. My ticket number is 71239.,negative,15,1,15,billing is incorrect and i was charged twice this month my ticket number is 
TKT00144,social,Your support team resolved my issue quickly. Thank you. My ticket number is 68648.,positive,14,0,14,your support team resolved my issue quickly thank you my ticket number is 
TKT00145,chat,I am checking if there is any scheduled maintenance today.,neutral,10,0,10,i am checking if there is any scheduled maintenance today
TKT00146,email,I have raised multiple tickets but nobody has fixed the problem. My ticket number is 82756.,negative,16,0,16,i have raised multiple tickets but nobody has fixed the problem my ticket number is 
TKT00147,chat,I am satisfied with the plan and would recommend it to others.,positive,12,0,12,i am satisfied with the plan and would recommend it to others
TKT00148,chat,The response from the team was helpful and professional.,positive,9,0,9,the response from the team was helpful and professional
TKT00149,phone,My refund is still pending and this experience is frustrating.,negative,10,1,10,my refund is still pending and this experience is frustrating
TKT00150,app,The router keeps failing and support has not resolved my issue.,negative,11,0,11,the router keeps failing and support has not resolved my issue
TKT00151,app,I want to cancel because the service quality is poor and unreliable.,negative,12,1,12,i want to cancel because the service quality is poor and unreliable
TKT00152,social,My refund is still pending and this experience is frustrating.,negative,10,0,10,my refund is still pending and this experience is frustrating
TKT00153,phone,The app crashes whenever I try to use payment.,negative,9,0,9,the app crashes whenever i try to use payment
TKT00154,chat,The refund process was fast and convenient. My ticket number is 51222.,positive,12,0,12,the refund process was fast and convenient my ticket number is 
TKT00155,email,Your support team resolved my issue quickly. Thank you. My ticket number is 40480. I appreciate the quick response.,positive,19,0,19,your support team resolved my issue quickly thank you my ticket number is  i appreciate the quick response
TKT00156,chat,The installation was completed on time and everything works perfectly. My ticket number is 36703.,positive,15,0,15,the installation was completed on time and everything works perfectly my ticket number is 
TKT00157,email,Please tell me how to update my account details. Please respond as soon as possible.,neutral,15,1,15,please tell me how to update my account details please respond as soon as possible
TKT00158,social,Great service and clear communication from the support team. I appreciate the quick response.,positive,14,0,14,great service and clear communication from the support team i appreciate the quick response
TKT00159,chat,I want to cancel because the service quality is poor and unreliable. My ticket number is 15869.,negative,17,1,17,i want to cancel because the service quality is poor and unreliable my ticket number is 
TKT00160,email,I am very unhappy because my subscription has not worked since after the recent update.,negative,15,1,15,i am very unhappy because my subscription has not worked since after the recent update
TKT00161,chat,I need help finding the invoice for my last order. My ticket number is 20959.,neutral,15,0,15,i need help finding the invoice for my last order my ticket number is 
TKT00162,phone,I would like to know more about the available plans.,neutral,10,0,10,i would like to know more about the available plans
TKT00163,social,I would like to know more about the available plans.,neutral,10,0,10,i would like to know more about the available plans
TKT00164,email,I need information about the payment process.,neutral,7,0,7,i need information about the payment process
TKT00165,phone,The delivery was late and the package arrived damaged. Please respond as soon as possible.,negative,15,1,15,the delivery was late and the package arrived damaged please respond as soon as possible
TKT00166,email,The installation was completed on time and everything works perfectly.,positive,10,0,10,the installation was completed on time and everything works perfectly
TKT00167,phone,Please provide the steps to activate analytics. My ticket number is 94843.,neutral,12,0,12,please provide the steps to activate analytics my ticket number is 
TKT00168,social,The router keeps failing and support has not resolved my issue. My ticket number is 68591.,negative,16,1,16,the router keeps failing and support has not resolved my issue my ticket number is 
TKT00169,social,The installation was completed on time and everything works perfectly. I appreciate the quick response.,positive,15,0,15,the installation was completed on time and everything works perfectly i appreciate the quick response
TKT00170,social,The refund process was fast and convenient.,positive,7,0,7,the refund process was fast and convenient
TKT00171,chat,Please provide the steps to activate profile update. Please respond as soon as possible.,neutral,14,1,14,please provide the steps to activate profile update please respond as soon as possible
TKT00172,app,Can someone explain the difference between the plans?,neutral,8,0,8,can someone explain the difference between the plans
TKT00173,phone,Your support team resolved my issue quickly. Thank you.,positive,9,0,9,your support team resolved my issue quickly thank you
TKT00174,email,I would like to know more about the available plans.,neutral,10,0,10,i would like to know more about the available plans
TKT00175,social,The delivery was smooth and the product quality is excellent.,positive,10,0,10,the delivery was smooth and the product quality is excellent
TKT00176,email,Please tell me how to update my account details.,neutral,9,0,9,please tell me how to update my account details
TKT00177,social,The installation was completed on time and everything works perfectly.,positive,10,0,10,the installation was completed on time and everything works perfectly
TKT00178,phone,The service plan keeps failing and support has not resolved my issue. My ticket number is 21824.,negative,17,1,17,the service plan keeps failing and support has not resolved my issue my ticket number is 
TKT00179,social,Please tell me how to update my account details.,neutral,9,0,9,please tell me how to update my account details
TKT00180,app,The dashboard keeps failing and support has not resolved my issue. My ticket number is 31327. Please respond as soon as possible.,negative,22,1,22,the dashboard keeps failing and support has not resolved my issue my ticket number is  please respond as soon as possible
TKT00181,phone,The product quality is bad and I regret purchasing it.,negative,10,0,10,the product quality is bad and i regret purchasing it
TKT00182,phone,I am satisfied with the plan and would recommend it to others.,positive,12,0,12,i am satisfied with the plan and would recommend it to others
TKT00183,phone,Can you share the status of my order request? My ticket number is 85756. Please respond as soon as possible.,neutral,20,1,20,can you share the status of my order request my ticket number is  please respond as soon as possible
TKT00184,phone,Can you share the status of my subscription request? Please respond as soon as possible.,neutral,15,1,15,can you share the status of my subscription request please respond as soon as possible
TKT00185,app,Can you share the status of my service plan request?,neutral,10,0,10,can you share the status of my service plan request
TKT00186,social,Great service and clear communication from the support team. My ticket number is 21660.,positive,14,0,14,great service and clear communication from the support team my ticket number is 
TKT00187,social,I have raised multiple tickets but nobody has fixed the problem. My ticket number is 65008. Please respond as soon as possible.,negative,22,1,22,i have raised multiple tickets but nobody has fixed the problem my ticket number is  please respond as soon as possible
TKT00188,email,I am satisfied with the plan and would recommend it to others. My ticket number is 56062.,positive,17,0,17,i am satisfied with the plan and would recommend it to others my ticket number is 
TKT00189,email,The product quality is bad and I regret purchasing it. My ticket number is 70794.,negative,15,1,15,the product quality is bad and i regret purchasing it my ticket number is 
TKT00190,social,Billing is incorrect and I was charged twice this month. My ticket number is 67748. Please respond as soon as possible.,negative,21,1,21,billing is incorrect and i was charged twice this month my ticket number is  please respond as soon as possible
TKT00191,email,I am very unhappy because my subscription has not worked since yesterday.,negative,12,0,12,i am very unhappy because my subscription has not worked since yesterday
TKT00192,chat,The response from the team was helpful and professional.,positive,9,0,9,the response from the team was helpful and professional
TKT00193,app,The delivery was smooth and the product quality is excellent. I appreciate the quick response.,positive,15,0,15,the delivery was smooth and the product quality is excellent i appreciate the quick response
TKT00194,social,The product quality is bad and I regret purchasing it.,negative,10,0,10,the product quality is bad and i regret purchasing it
TKT00195,email,Great service and clear communication from the support team.,positive,9,0,9,great service and clear communication from the support team
TKT00196,app,The subscription keeps failing and support has not resolved my issue. My ticket number is 56110.,negative,16,0,16,the subscription keeps failing and support has not resolved my issue my ticket number is 
TKT00197,chat,I want to cancel because the service quality is poor and unreliable. My ticket number is 57178.,negative,17,0,17,i want to cancel because the service quality is poor and unreliable my ticket number is 
TKT00198,app,I want to cancel because the service quality is poor and unreliable.,negative,12,1,12,i want to cancel because the service quality is poor and unreliable
TKT00199,social,I need help finding the invoice for my last order.,neutral,10,0,10,i need help finding the invoice for my last order
TKT00200,phone,I want to cancel because the service quality is poor and unreliable.,negative,12,0,12,i want to cancel because the service quality is poor and unreliable
TKT00201,email,Please tell me how to update my account details. My ticket number is 68239.,neutral,14,0,14,please tell me how to update my account details my ticket number is 
TKT00202,chat,I am checking if there is any scheduled maintenance today.,neutral,10,0,10,i am checking if there is any scheduled maintenance today
TKT00203,phone,Can you share the status of my subscription request? My ticket number is 74668.,neutral,14,0,14,can you share the status of my subscription request my ticket number is 
TKT00204,app,The installation was completed on time and everything works perfectly.,positive,10,0,10,the installation was completed on time and everything works perfectly
TKT00205,app,The refund process was fast and convenient.,positive,7,0,7,the refund process was fast and convenient
TKT00206,chat,Can you share the status of my mobile app request?,neutral,10,0,10,can you share the status of my mobile app request
TKT00207,phone,I have raised multiple tickets but nobody has fixed the problem.,negative,11,1,11,i have raised multiple tickets but nobody has fixed the problem
TKT00208,email,The installation was completed on time and everything works perfectly. My ticket number is 64746.,positive,15,0,15,the installation was completed on time and everything works perfectly my ticket number is 
TKT00209,social,The order keeps failing and support has not resolved my issue.,negative,11,0,11,the order keeps failing and support has not resolved my issue
TKT00210,app,The product quality is bad and I regret purchasing it. My ticket number is 74528. Please respond as soon as possible.,negative,21,1,21,the product quality is bad and i regret purchasing it my ticket number is  please respond as soon as possible
TKT00211,phone,The delivery was smooth and the product quality is excellent.,positive,10,0,10,the delivery was smooth and the product quality is excellent
TKT00212,social,I need information about the payment process.,neutral,7,0,7,i need information about the payment process
TKT00213,chat,I have raised multiple tickets but nobody has fixed the problem. My ticket number is 46363.,negative,16,0,16,i have raised multiple tickets but nobody has fixed the problem my ticket number is 
TKT00214,email,Can someone explain the difference between the plans?,neutral,8,0,8,can someone explain the difference between the plans
TKT00215,phone,I am satisfied with the plan and would recommend it to others.,positive,12,0,12,i am satisfied with the plan and would recommend it to others
TKT00216,app,I want to understand the warranty terms for this product. Please respond as soon as possible.,neutral,16,1,16,i want to understand the warranty terms for this product please respond as soon as possible
TKT00217,social,The installation was completed on time and everything works perfectly.,positive,10,0,10,the installation was completed on time and everything works perfectly
TKT00218,chat,My refund is still pending and this experience is frustrating. My ticket number is 41671.,negative,15,0,15,my refund is still pending and this experience is frustrating my ticket number is 
TKT00219,phone,I like the new analytics and it is easy to use.,positive,11,0,11,i like the new analytics and it is easy to use
TKT00220,chat,The subscription is working well and I am happy with the service.,positive,12,0,12,the subscription is working well and i am happy with the service
TKT00221,chat,I am very unhappy because my insurance policy has not worked since three days ago. Please respond as soon as possible.,negative,21,1,21,i am very unhappy because my insurance policy has not worked since three days ago please respond as soon as possible
TKT00222,phone,I am satisfied with the plan and would recommend it to others. My ticket number is 23863.,positive,17,0,17,i am satisfied with the plan and would recommend it to others my ticket number is 
TKT00223,email,I am very unhappy because my mobile app has not worked since last week.,negative,14,0,14,i am very unhappy because my mobile app has not worked since last week
TKT00224,social,I am very unhappy because my subscription has not worked since yesterday. Please respond as soon as possible.,negative,18,1,18,i am very unhappy because my subscription has not worked since yesterday please respond as soon as possible
TKT00225,app,Please provide the steps to activate video call. My ticket number is 25289. Please respond as soon as possible.,neutral,19,1,19,please provide the steps to activate video call my ticket number is  please respond as soon as possible
TKT00226,app,Please tell me how to update my account details.,neutral,9,0,9,please tell me how to update my account details
TKT00227,social,The product quality is bad and I regret purchasing it. Please respond as soon as possible.,negative,16,1,16,the product quality is bad and i regret purchasing it please respond as soon as possible
TKT00228,chat,The refund process was fast and convenient. My ticket number is 41492.,positive,12,0,12,the refund process was fast and convenient my ticket number is 
